"raw thermostat samples from CH1 (second channel). 20Hz split between two ch (10Hz per ch). sinc5+sinc1, no postfilt."
8388999
8389000
8389002
8388999
8388999
8388999
8389002
8389000
8388998
8388999
8389000
8389001
8389000
8388999
8388997
8388999
8388999
8389000
8388999
8389000
8389000
8389000
8388998
8388996
8388997
8389000
8388997
8388999
8389000
8388998
8389000
8389000
8388998
8388999
8388999
8389002
8388997
8388999
8389001
8388997
8388999
8389000
8389000
8388998
8388999
8389000
8389000
8389001
8389001
8389000
8389001
8388999
8388999
8388997
8389000
8389002
8389000
8388999
8389000
8389000
8389000
8388998
8388998
8388999
8389001
8388998
8389003
8388999
8388998
8389001
8388998
8388999
8389000
8389000
8388999
8389000
8388997
8389000
8389000
8389000
8389001
8388999
8388997
8388998
8389000
8389001
8389001
8388998
8389001
8388999
8389000
8388999
8388999
8388999
8388999
8389001
8388998
8388999
8389001
8388999
8389000
8388998
8389000
8389000
8389000
8388999
8388998
8389000
8388999
8389000
8388997
8389001
8388998
8388998
8388999
8388997
8389000
8388999
8388999
8389000
8388999
8389001
8388999
8388999
8389000
8389000
8388999
8388997
8388998
8389000
8389000
8388999
8389002
8389001
8389001
8388997
8389000
8388999
8388999
8389000
8388997
8388999
8388998
8389000
8389000
8389000
8389000
8388997
8389000
8389000
8389001
8389000
8388999
8389001
8389000
8389000
8388998
8388998
8389000
8388999
8388999
8388999
8388999
8389000
8389000
8388999
8389000
8389001
8389001
8389000
8389001
8389000
8389001
8389001
8388999
8388999
8389000
8388998
8389001
8389000
8388998
8388998
8388999
8388998
8388999
8388999
8389000
8388999
8388999
8389000
8389000
8388999
8389000
8389000
8388998
8389000
8388999
8388997
8389001
8388999
8388998
8389001
8388999
8388998
8389002
8388999
8388998
8388999
8388999
8389002
8388999
8388998
8388999
8389000
8388999
8388999
8388998
8388998
8388998
8388999
8389000
8389001
8388999
8389000
8389000
8389000
8389000
8389002
8389001
8388998
8388998
8389000
8388998
8388999
8389001
8388998
8388998
8389001
8389000
8388999
8388996
8389000
8388998
8389000
8388998
8389000
8388999
8388998
8388998
8388999
8388999
8388996
8388998
8388999
8389000
8388998
8388997
8388998
8389002
8388997
8388999
8388998
8389000
8388998
8388999
8389000
8389000
8388998
8389000
8388998
8388999
8388997
8388997
8388999
8389001
8388998
8389000
8389001
8388998
8388999
8389001
8388998
8388998
8389000
8388998
8388998
8389001
8389001
8389002
8388997
8388998
8388997
8388997
8388999
8388998
8388998
8389000
8389000
8388997
8389000
8388997
8388999
8388998
8389001
8388999
8388998
8388999
8389001
8388999
8389000
8389001
8388997
8389001
8389000
8389000
8388999
8389002
8389000
8389000
8388997
8388998
8388997
8388999
8389000
8389000
8388998
8388999
8388999
8389001
8388997
8388996
8389000
8388998
8389000
8389000
8388997
8388998
8388999
8388999
8389000
8388999
8388998
8389001
